Holding Name,Trade Good,Holding Occupied,Total Value of Holding Production,Holdings Owner,Province Location Hex ID,Province Name,Province Owner
Poland Barley Farm,Barley,FALSE,17.6,Poland Nobility,106E,Ciechanów,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland,106E,Ciechanów,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Merchants,106E,Ciechanów,Poland
Poland Oat Farm,Oats,FALSE,52.8,Polish Merchants,106E,Ciechanów,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland Nobility,106F,Różan,Poland
Poland Sheep Farm,Wool,FALSE,268.8,Polish Clergy (Catholic),106F,Różan,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland Nobility,1070,Maków Mazowiecki,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Merchants,1070,Maków Mazowiecki,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,1070,Maków Mazowiecki,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Merchants,1070,Maków Mazowiecki,Poland
Poland Ranch,Livestock,FALSE,18.4,Poland Nobility,1070,Maków Mazowiecki,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland Nobility,1071,Kamieńczyk,Poland
Poland Rye Farm,Rye,FALSE,52.8,Poland Nobility,1071,Kamieńczyk,Poland
Poland Wheat Farm,Wheat,FALSE,70.4,Polish Merchants,1071,Kamieńczyk,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland,1071,Kamieńczyk,Poland
Poland Oat Farm,Oats,FALSE,35.2,Polish Merchants,1071,Kamieńczyk,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Merchants,1072,,Poland
Poland Rye Farm,Rye,FALSE,35.2,Polish Clergy (Catholic),1072,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland,1072,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,1072,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland,1072,,Poland
Poland Clothmakers,Cloth,FALSE,40,Polish Merchants,1072,,Poland
Poland Ranch,Livestock,FALSE,18.4,Poland,1072,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),1074,,Poland
Poland Wheat Farm,Wheat,FALSE,88,Poland,1074,,Poland
Poland Clothmakers,Cloth,FALSE,20,Poland,1074,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),1075,Serock,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),1075,Serock,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,1075,Serock,Poland
Poland Ranch,Livestock,FALSE,18.4,Poland,1075,Serock,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,1076,Nowe Miasto,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland Nobility,1076,Nowe Miasto,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland Nobility,1076,Nowe Miasto,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Clergy (Catholic),1076,Nowe Miasto,Poland
Poland Ranch,Livestock,FALSE,18.4,Poland Nobility,1076,Nowe Miasto,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),1077,Zakroczym,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),1077,Zakroczym,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Clergy (Catholic),1077,Zakroczym,Poland
Poland Wheat Farm,Wheat,FALSE,70.4,Polish Clergy (Catholic),1077,Zakroczym,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Clergy (Catholic),1077,Zakroczym,Poland
Poland Clothmakers,Cloth,FALSE,80,Polish Clergy (Catholic),1077,Zakroczym,Poland
Poland Ranch,Livestock,FALSE,18.4,Polish Merchants,1077,Zakroczym,Poland
Poland Rye Farm,Rye,FALSE,35.2,Poland,1078,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Merchants,1078,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Merchants,1078,,Poland
Poland Oat Farm,Oats,FALSE,70.4,Polish Clergy (Catholic),1078,,Poland
Poland Oat Farm,Oats,FALSE,35.2,Polish Merchants,1078,,Poland
Poland Clothmakers,Cloth,FALSE,40,Poland,1078,,Poland
Poland Sheep Farm,Wool,FALSE,201.6,Polish Merchants,1078,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,1079,Sąchock,Poland
Poland Rye Farm,Rye,FALSE,35.2,Poland,1079,Sąchock,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,1079,Sąchock,Poland
Poland Barley Farm,Barley,FALSE,70.4,Poland,107A,Wyszogród,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Clergy (Catholic),107A,Wyszogród,Poland
Poland Oat Farm,Oats,FALSE,52.8,Poland Nobility,107A,Wyszogród,Poland
Poland Clothmakers,Cloth,FALSE,20,Poland,107A,Wyszogród,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),107B,,Poland
Poland Rye Farm,Rye,FALSE,52.8,Poland Nobility,107B,,Poland
Poland Wheat Farm,Wheat,FALSE,70.4,Polish Clergy (Catholic),107B,,Poland
Poland Clothmakers,Cloth,FALSE,20,Polish Merchants,107B,,Poland
Poland Sheep Farm,Wool,FALSE,134.4,Polish Clergy (Catholic),107B,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland Nobility,107C,Błonie,Poland
Poland Wheat Farm,Wheat,FALSE,52.8,Poland,107C,Błonie,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,107D,Warsaw,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Clergy (Catholic),107D,Warsaw,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,107D,Warsaw,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,107D,Warsaw,Poland
Poland Clothmakers,Cloth,FALSE,20,Poland Nobility,107D,Warsaw,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland Nobility,107E,Tarczyn,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland Nobility,107E,Tarczyn,Poland
Poland Rye Farm,Rye,FALSE,52.8,Polish Merchants,107E,Tarczyn,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,107E,Tarczyn,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,107E,Tarczyn,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,107E,Tarczyn,Poland
Poland Clothmakers,Cloth,FALSE,20,Poland,107E,Tarczyn,Poland
Poland Sheep Farm,Wool,FALSE,67.2,Poland,107E,Tarczyn,Poland
Poland Barley Farm,Barley,FALSE,35.2,Poland,10D1,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Merchants,10D1,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,10D1,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,10D1,,Poland
Poland Oat Farm,Oats,FALSE,70.4,Polish Clergy (Catholic),10D1,,Poland
Poland Papermaker,Paper,FALSE,86.4,Poland,10D1,,Poland
Poland Rye Farm,Rye,FALSE,52.8,Poland,10D2,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland Nobility,10D2,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland Nobility,10D2,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,10D2,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland,10D2,,Poland
Poland Clothmakers,Cloth,FALSE,80,Polish Merchants,10D2,,Poland
Poland Jewellers,Jewellery,FALSE,182.4,Polish Merchants,10D2,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland Nobility,10D3,Nakło,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland Nobility,10D3,Nakło,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Merchants,10D3,Nakło,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland,10D3,Nakło,Poland
Poland Glassmith,Glass,FALSE,21.6,Polish Clergy (Catholic),10D3,Nakło,Poland
Poland Metalworks,Metalworks,FALSE,21.6,Polish Clergy (Catholic),10D3,Nakło,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),10D4,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland Nobility,10D4,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland Nobility,10D4,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland Nobility,10D4,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Clergy (Catholic),10D4,,Poland
Poland Oat Farm,Oats,FALSE,70.4,Polish Clergy (Catholic),10D4,,Poland
Poland Glassmith,Glass,FALSE,43.2,Poland,10D4,,Poland
Poland Jewellers,Jewellery,FALSE,60.8,Poland,10D4,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,10D5,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Clergy (Catholic),10D5,,Poland
Poland Glassmith,Glass,FALSE,21.6,Poland,10D5,,Poland
Poland Papermaker,Paper,FALSE,64.8,Polish Merchants,10D5,,Poland
Poland Jewellers,Jewellery,FALSE,152,Poland,10D5,,Poland
Poland Barley Farm,Barley,FALSE,35.2,Poland,10D6,Wałcz,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,10D6,Wałcz,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland,10D6,Wałcz,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Clergy (Catholic),10D6,Wałcz,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Merchants,10D6,Wałcz,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,10D6,Wałcz,Poland
Poland Metalworks,Metalworks,FALSE,86.4,Poland,10D6,Wałcz,Poland
Poland Barley Farm,Barley,FALSE,52.8,Polish Merchants,10D7,,Poland
Poland Rye Farm,Rye,FALSE,35.2,Poland,10D7,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Merchants,10D7,,Poland
Poland Wheat Farm,Wheat,FALSE,52.8,Polish Merchants,10D7,,Poland
Poland Oat Farm,Oats,FALSE,70.4,Poland,10D7,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),10D8,,Poland
Poland Rye Farm,Rye,FALSE,35.2,Polish Clergy (Catholic),10D8,,Poland
Poland Rye Farm,Rye,FALSE,35.2,Poland,10D8,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland Nobility,10D8,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Merchants,10D8,,Poland
Poland Clothmakers,Cloth,FALSE,20,Poland Nobility,10D8,,Poland
Poland Barley Farm,Barley,FALSE,35.2,Poland,10D9,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland,10D9,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Merchants,10D9,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Merchants,10D9,,Poland
Poland Clothmakers,Cloth,FALSE,20,Polish Merchants,10D9,,Poland
Poland Metalworks,Metalworks,FALSE,43.2,Poland,10D9,,Poland
Poland Papermaker,Paper,FALSE,108,Poland Nobility,10D9,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Merchants,10DA,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Clergy (Catholic),10DA,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,10DA,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Merchants,10DA,,Poland
Poland Glassmith,Glass,FALSE,21.6,Poland,10DA,,Poland
Poland Jewellers,Jewellery,FALSE,30.4,Polish Clergy (Catholic),10DA,,Poland
Poland Wheat Farm,Wheat,FALSE,35.2,Polish Merchants,10DB,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Merchants,10DB,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,10DB,,Poland
Poland Papermaker,Paper,FALSE,86.4,Poland Nobility,10DB,,Poland
Poland Jewellers,Jewellery,FALSE,30.4,Polish Merchants,10DB,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,10DC,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Merchants,10DC,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland,10DC,,Poland
Poland Clothmakers,Cloth,FALSE,20,Poland Nobility,10DC,,Poland
Poland Papermaker,Paper,FALSE,21.6,Poland Nobility,10DC,,Poland
Poland Jewellers,Jewellery,FALSE,91.2,Poland,10DC,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),10DD,,Poland
Poland Barley Farm,Barley,FALSE,35.2,Poland,10DD,,Poland
Poland Rye Farm,Rye,FALSE,52.8,Poland Nobility,10DD,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,10DD,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland,10DD,,Poland
Poland Glassmith,Glass,FALSE,21.6,Polish Merchants,10DD,,Poland
Poland Metalworks,Metalworks,FALSE,108,Poland,10DD,,Poland
Poland Papermaker,Paper,FALSE,21.6,Polish Merchants,10DD,,Poland
Poland Jewellers,Jewellery,FALSE,121.6,Polish Merchants,10DD,,Poland
Poland Barley Farm,Barley,FALSE,70.4,Poland Nobility,10DE,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Clergy (Catholic),10DE,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,10DE,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland,10DE,,Poland
Poland Metalworks,Metalworks,FALSE,129.6,Poland Nobility,10DE,,Poland
Poland Papermaker,Paper,FALSE,43.2,Poland,10DE,,Poland
Poland Barley Farm,Barley,FALSE,35.2,Poland Nobility,10DF,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland,10DF,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Clergy (Catholic),10DF,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Merchants,10DF,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Clergy (Catholic),10DF,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Merchants,10DF,,Poland
Poland Metalworks,Metalworks,FALSE,21.6,Poland Nobility,10DF,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),10E0,,Poland
Poland Wheat Farm,Wheat,FALSE,52.8,Poland,10E0,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Clergy (Catholic),10E0,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland,10E0,,Poland
Poland Glassmith,Glass,FALSE,21.6,Poland Nobility,10E0,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Clergy (Catholic),10E1,Poznań,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,10E1,Poznań,Poland
Poland Wheat Farm,Wheat,FALSE,70.4,Polish Clergy (Catholic),10E1,Poznań,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Merchants,10E1,Poznań,Poland
Poland Metalworks,Metalworks,FALSE,21.6,Polish Clergy (Catholic),10E1,Poznań,Poland
Poland Barley Farm,Barley,FALSE,52.8,Poland,10E2,,Poland
Poland Rye Farm,Rye,FALSE,52.8,Polish Merchants,10E2,,Poland
Poland Wheat Farm,Wheat,FALSE,105.6,Polish Merchants,10E2,,Poland
Poland Oat Farm,Oats,FALSE,35.2,Poland,10E2,,Poland
Poland Glassmith,Glass,FALSE,108,Poland Nobility,10E2,,Poland
Poland Jewellers,Jewellery,FALSE,60.8,Polish Merchants,10E2,,Poland
Poland Barley Farm,Barley,FALSE,88,Poland,10E3,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Merchants,10E3,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Merchants,10E3,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,10E3,,Poland
Poland Oat Farm,Oats,FALSE,52.8,Polish Merchants,10E3,,Poland
Poland Metalworks,Metalworks,FALSE,108,Poland Nobility,10E3,,Poland
Poland Papermaker,Paper,FALSE,21.6,Polish Clergy (Catholic),10E3,,Poland
Poland Jewellers,Jewellery,FALSE,30.4,Poland,10E3,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,10E4,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland,10E4,,Poland
Poland Oat Farm,Oats,FALSE,70.4,Poland Nobility,10E4,,Poland
Poland Oat Farm,Oats,FALSE,105.6,Polish Merchants,10E4,,Poland
Poland Glassmith,Glass,FALSE,86.4,Poland Nobility,10E4,,Poland
Poland Clothmakers,Cloth,FALSE,80,Poland Nobility,10E4,,Poland
Poland Metalworks,Metalworks,FALSE,64.8,Polish Clergy (Catholic),10E4,,Poland
Poland Jewellers,Jewellery,FALSE,60.8,Poland,10E4,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,10E5,Wschowa,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland,10E5,Wschowa,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,10E5,Wschowa,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,10E5,Wschowa,Poland
Poland Papermaker,Paper,FALSE,108,Poland,10E5,Wschowa,Poland
Poland Jewellers,Jewellery,FALSE,91.2,Polish Clergy (Catholic),10E5,Wschowa,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Merchants,10E6,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland Nobility,10E6,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Merchants,10E6,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Clergy (Catholic),10E6,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,10E7,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Clergy (Catholic),10E7,,Poland
Poland Wheat Farm,Wheat,FALSE,35.2,Polish Clergy (Catholic),10E7,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Clergy (Catholic),10E7,,Poland
Poland Metalworks,Metalworks,FALSE,43.2,Polish Clergy (Catholic),10E7,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),10E8,Kościan,Poland
Poland Barley Farm,Barley,FALSE,105.6,Poland,10E8,Kościan,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Clergy (Catholic),10E8,Kościan,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland Nobility,10E8,Kościan,Poland
Poland Oat Farm,Oats,FALSE,70.4,Poland Nobility,10E8,Kościan,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Clergy (Catholic),10E8,Kościan,Poland
Poland Barley Farm,Barley,FALSE,52.8,Polish Merchants,10E9,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland Nobility,10E9,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Merchants,10E9,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,10E9,,Poland
Poland Wheat Farm,Wheat,FALSE,70.4,Poland,10E9,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Polish Merchants,10E9,,Poland
Poland Oat Farm,Oats,FALSE,88,Polish Merchants,10E9,,Poland
Poland Clothmakers,Cloth,FALSE,20,Poland,10E9,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,10EA,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),10EA,,Poland
Poland Rye Farm,Rye,FALSE,52.8,Polish Merchants,10EA,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,10EA,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland,10EA,,Poland
Poland Papermaker,Paper,FALSE,21.6,Poland,10EA,,Poland
Poland Jewellers,Jewellery,FALSE,30.4,Poland Nobility,10EA,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),10EB,,Poland
Poland Rye Farm,Rye,FALSE,105.6,Poland,10EB,,Poland
Poland Oat Farm,Oats,FALSE,35.2,Polish Clergy (Catholic),10EB,,Poland
Poland Metalworks,Metalworks,FALSE,64.8,Poland,10EB,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Merchants,10EC,Pzydry,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Merchants,10EC,Pzydry,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Merchants,10EC,Pzydry,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland Nobility,10EC,Pzydry,Poland
Poland Oat Farm,Oats,FALSE,88,Poland Nobility,10EC,Pzydry,Poland
Poland Clothmakers,Cloth,FALSE,20,Poland,10EC,Pzydry,Poland
Poland Papermaker,Paper,FALSE,21.6,Poland,10EC,Pzydry,Poland
Poland Rye Farm,Rye,FALSE,88,Poland Nobility,10ED,Konin,Poland
Poland Wheat Farm,Wheat,FALSE,88,Polish Clergy (Catholic),10ED,Konin,Poland
Poland Glassmith,Glass,FALSE,108,Poland Nobility,10ED,Konin,Poland
Poland Metalworks,Metalworks,FALSE,21.6,Poland,10ED,Konin,Poland
Poland Jewellers,Jewellery,FALSE,60.8,Polish Merchants,10ED,Konin,Poland
Poland Barley Farm,Barley,FALSE,17.6,Polish Clergy (Catholic),10EE,,Poland
Poland Rye Farm,Rye,FALSE,88,Polish Merchants,10EE,,Poland
Poland Rye Farm,Rye,FALSE,70.4,Poland Nobility,10EE,,Poland
